action_ref,inspection_id,site_name,category,raised_date,due_date,closed_date,owner_id,action_description
AC-197,SI-2025-0255,Perth North,Electrical,2025-06-11,2025-06-25,2025-06-29,3,Clear access to isolation switch at the north stairwell
AC-198,SI-2025-0258,Bradford Interchange Depot,Fire safety,2025-06-12,2025-06-26,2025-06-24,9,Clear access to fire alarm call point at level 2
AC-199,SI-2025-0261,Dundee Camperdown Depot,Fire safety,2025-06-12,2025-06-26,2025-06-21,2,Service emergency lighting at the north stairwell
AC-200,SI-2025-0262,Dartford Clearway Depot,Housekeeping,2025-06-17,2025-07-01,2025-07-11,10,Clear staged pallets from pedestrian route near level 2
AC-201,SI-2025-0262,Dartford Clearway Depot,Fire safety,2025-06-18,2025-07-02,2025-06-23,9,Service emergency lighting at the main workshop
AC-202,SI-2025-0271,Derby Litchurch Yard,PPE & welfare,2025-06-19,2025-07-10,2025-07-01,9,Replace eye-wash bottle at the main workshop
AC-203,SI-2025-0272,Dundee Camperdown Depot,Fire safety,2025-06-19,2025-07-03,2025-06-25,6,Adjust and repair fire door at the yard gate
AC-204,SI-2025-0272,Dundee Camperdown Depot,PPE & welfare,2025-06-19,2025-07-03,2025-06-30,10,Replace eye-wash bottle at the main workshop
AC-205,SI-2025-0270,Swansea Fabian Way Depot,Storage,2025-06-20,2025-07-11,2025-07-07,7,Remove untagged stepladder from the east exit
AC-206,SI-2025-0272,Dundee Camperdown Depot,Electrical,2025-06-20,2025-07-18,2025-06-29,5,Close and label distribution board at the north stairwell
AC-207,SI-2025-0271,Derby Litchurch Yard,Storage,2025-06-21,2025-07-12,2025-06-27,9,Update COSHH register at level 2
AC-208,SI-2025-0276,Leicester Brook Depot,Storage,2025-06-21,2025-07-19,2025-06-28,5,Update COSHH register at the mezzanine
AC-209,SI-2025-0275,Inverness Longman Depot,Storage,2025-06-22,2025-07-13,2025-07-08,5,Book racking inspection for aisle 4
AC-210,SI-2025-0277,Newport Docks Depot,Fire safety,2025-06-23,2025-07-14,2025-07-10,7,Adjust and repair fire door at level 2
AC-211,SI-2025-0277,Newport Docks Depot,PPE & welfare,2025-06-24,2025-07-08,2025-07-10,9,Rebrief PPE requirements for store B
AC-212,SI-2025-0280,Teesport Yard,Electrical,2025-06-24,2025-07-15,2025-07-06,4,Remove and replace damaged extension lead at level 2
AC-213,SI-2025-0279,Coventry Gateway Hub,Signage,2025-06-25,2025-07-09,2025-06-28,6,Re-mark pedestrian walkway at the main workshop
AC-214,SI-2025-0279,Coventry Gateway Hub,Housekeeping,2025-06-26,2025-07-10,2025-07-10,7,Arrange additional waste collection at aisle 4
AC-215,SI-2025-0280,Teesport Yard,Housekeeping,2025-06-26,2025-07-10,2025-07-05,7,Clear and clean work area at the east exit
AC-216,SI-2025-0281,Wrexham Industrial Hub,Electrical,2025-06-26,2025-07-17,2025-07-02,6,Remove and replace damaged extension lead at aisle 4
AC-217,SI-2025-0283,Kingsway Depot,Housekeeping,2025-06-26,2025-07-17,2025-07-03,10,Arrange additional waste collection at the main workshop
AC-218,SI-2025-0286,Carlisle Gateway,Fire safety,2025-06-26,2025-07-10,2025-07-07,9,Adjust and repair fire door at the yard gate
AC-219,SI-2025-0294,Dartford Clearway Depot,Fire safety,2025-07-02,2025-07-23,2025-07-10,4,Arrange service or replacement of extinguisher at the dock office
AC-220,SI-2025-0294,Dartford Clearway Depot,Storage,2025-07-02,2025-07-23,2025-07-19,5,Book racking inspection for the main workshop
AC-221,SI-2025-0296,Rugby Junction Depot,Storage,2025-07-02,2025-07-23,2025-08-01,7,Redistribute load and check beam at loading bay 6
AC-222,SI-2025-0301,Neath Yard,Signage,2025-07-03,2025-07-17,2025-07-18,9,Relocate stock obscuring escape signage at the mezzanine
AC-223,SI-2025-0298,Wolverhampton Basin Depot,Signage,2025-07-04,2025-08-01,2025-07-12,9,Relocate stock obscuring escape signage at loading bay 6
AC-224,SI-2025-0301,Neath Yard,Fire safety,2025-07-05,2025-07-26,2025-07-29,9,Clear access to fire alarm call point at store B
AC-225,SI-2025-0301,Neath Yard,Signage,2025-07-05,2025-07-19,2025-07-15,4,Install hazard signage at the north stairwell crossing
AC-226,SI-2025-0303,Dartford Clearway Depot,Storage,2025-07-05,2025-07-19,2025-07-28,1,Update COSHH register at the east exit
AC-227,SI-2025-0304,Livingston Deans Hub,Fire safety,2025-07-06,2025-07-27,2025-07-20,3,Service emergency lighting at the mezzanine
AC-228,SI-2025-0308,Ashford Orbital Yard,Fire safety,2025-07-10,2025-07-31,2025-07-16,3,Adjust and repair fire door at bay 2
AC-229,SI-2025-0312,Luton Percival Hub,PPE & welfare,2025-07-11,2025-08-08,2025-07-26,5,Replace eye-wash bottle at bay 2
AC-230,SI-2025-0313,Teesport Yard,Signage,2025-07-12,2025-08-09,2025-08-09,10,Install hazard signage at the mezzanine crossing
AC-231,SI-2025-0314,Coventry Gateway Hub,Signage,2025-07-12,2025-08-09,2025-07-28,9,Relocate stock obscuring escape signage at loading bay 6
AC-232,SI-2025-0314,Coventry Gateway Hub,Housekeeping,2025-07-13,2025-08-03,2025-07-18,10,Clear and clean work area at the yard gate
AC-233,SI-2025-0317,Hull Fleet Depot,Electrical,2025-07-16,2025-08-06,2025-07-26,7,Remove and replace damaged extension lead at the north stairwell
AC-234,SI-2025-0316,Perth North,Electrical,2025-07-17,2025-07-31,2025-07-24,1,Close and label distribution board at the yard gate
AC-235,SI-2025-0318,Tyne Dock Depot,Fire safety,2025-07-18,2025-08-01,2025-07-24,10,Adjust and repair fire door at the welfare cabin
AC-236,SI-2025-0319,Teesport Yard,Housekeeping,2025-07-19,2025-08-16,2025-07-28,7,Clear staged pallets from pedestrian route near store B
AC-237,SI-2025-0323,Deeside Park Depot,Fire safety,2025-07-21,2025-08-11,2025-08-10,2,Adjust and repair fire door at the east exit
AC-238,SI-2025-0325,Kingsway Depot,Fire safety,2025-07-21,2025-08-04,2025-07-29,2,Service emergency lighting at the east exit
AC-239,SI-2025-0325,Kingsway Depot,PPE & welfare,2025-07-22,2025-08-19,2025-08-09,7,Rebrief PPE requirements for the east exit
AC-240,SI-2025-0320,Aberdeen Harbour Yard,PPE & welfare,2025-07-23,2025-08-20,2025-08-06,6,Rebrief PPE requirements for aisle 4
AC-241,SI-2025-0325,Kingsway Depot,Signage,2025-07-23,2025-08-13,2025-07-31,7,Install hazard signage at the mezzanine crossing
AC-242,SI-2025-0327,Neath Yard,Signage,2025-07-23,2025-08-06,2025-08-03,7,Display current statutory notices at level 2
AC-243,SI-2025-0330,Rugby Junction Depot,Signage,2025-07-26,2025-08-09,2025-08-05,5,Display current statutory notices at the dock office
AC-244,SI-2025-0332,Avonmouth 3,Electrical,2025-07-28,2025-08-18,2025-08-13,2,Book PAT retest for equipment at the dock office
AC-245,SI-2025-0334,Ely Sidings,Housekeeping,2025-07-28,2025-08-11,2025-08-03,9,Clear and clean work area at aisle 4
AC-246,SI-2025-0334,Ely Sidings,PPE & welfare,2025-07-28,2025-08-11,2025-08-06,5,Replace eye-wash bottle at store B
AC-247,SI-2025-0332,Avonmouth 3,Signage,2025-07-29,2025-08-26,2025-08-05,7,Re-mark pedestrian walkway at level 2
AC-248,SI-2025-0334,Ely Sidings,Housekeeping,2025-07-29,2025-08-12,2025-08-14,9,Arrange additional waste collection at bay 2
AC-249,SI-2025-0342,Ely Sidings,Signage,2025-08-04,2025-08-18,2025-08-12,7,Install hazard signage at the dock office crossing
AC-250,SI-2025-0345,Reading Green Park Depot,Signage,2025-08-05,2025-08-19,2025-09-08,10,Relocate stock obscuring escape signage at the north stairwell
AC-251,SI-2025-0342,Ely Sidings,Electrical,2025-08-06,2025-08-20,2025-08-17,4,Book PAT retest for equipment at the yard gate
AC-252,SI-2025-0354,Crewe Annex,Housekeeping,2025-08-13,2025-09-03,2025-08-21,10,Clear and clean work area at the mezzanine
AC-253,SI-2025-0358,Rugby Junction Depot,Fire safety,2025-08-13,2025-08-27,2025-08-26,2,Adjust and repair fire door at aisle 4
AC-254,SI-2025-0359,Tyne Dock Depot,Housekeeping,2025-08-13,2025-09-10,2025-08-18,10,Restock spill kit at the mezzanine
AC-255,SI-2025-0361,Fenton Works,Housekeeping,2025-08-14,2025-08-28,2025-08-28,3,Clear staged pallets from pedestrian route near bay 2
AC-256,SI-2025-0363,Perth North,PPE & welfare,2025-08-14,2025-08-28,2025-08-26,5,Repair hot water supply in welfare room at the dock office
AC-257,SI-2025-0360,Ashford Orbital Yard,Storage,2025-08-15,2025-09-05,2025-09-12,10,Update COSHH register at the mezzanine
AC-258,SI-2025-0363,Perth North,Housekeeping,2025-08-15,2025-09-05,2025-08-28,2,Arrange additional waste collection at store B
AC-259,SI-2025-0366,Northampton Crossfield Hub,Fire safety,2025-08-15,2025-09-12,2025-08-29,1,Service emergency lighting at loading bay 6
AC-260,SI-2025-0364,Teesport Yard,Signage,2025-08-16,2025-09-06,2025-08-29,10,Display current statutory notices at the yard gate
AC-261,SI-2025-0365,Kingsway Depot,Housekeeping,2025-08-17,2025-08-31,2025-08-28,4,Clear staged pallets from pedestrian route near store B
AC-262,SI-2025-0367,Deeside Park Depot,Storage,2025-08-20,2025-09-10,2025-09-17,10,Book racking inspection for the north stairwell
AC-263,SI-2025-0369,Avonmouth 3,Electrical,2025-08-20,2025-09-10,2025-08-26,10,Remove and replace damaged extension lead at the mezzanine
AC-264,SI-2025-0371,Rugby Junction Depot,Signage,2025-08-20,2025-09-17,2025-09-06,9,Display current statutory notices at the north stairwell
AC-265,SI-2025-0372,Skelton Grange Hub,Storage,2025-08-20,2025-09-10,2025-09-07,6,Remove untagged stepladder from aisle 4
AC-266,SI-2025-0374,Deeside Park Depot,Signage,2025-08-20,2025-09-17,2025-08-26,4,Install hazard signage at the east exit crossing
AC-267,SI-2025-0369,Avonmouth 3,Signage,2025-08-21,2025-09-18,2025-09-07,1,Display current statutory notices at aisle 4
AC-268,SI-2025-0372,Skelton Grange Hub,Signage,2025-08-21,2025-09-11,2025-09-22,5,Relocate stock obscuring escape signage at level 2
AC-269,SI-2025-0376,Hull Fleet Depot,PPE & welfare,2025-08-21,2025-09-11,2025-09-02,1,Repair hot water supply in welfare room at aisle 4
AC-270,SI-2025-0374,Deeside Park Depot,Storage,2025-08-22,2025-09-05,2025-09-02,9,Book racking inspection for loading bay 6
AC-271,SI-2025-0379,Newport Docks Depot,Housekeeping,2025-08-27,2025-09-10,2025-09-03,9,Clear staged pallets from pedestrian route near the dock office
AC-272,SI-2025-0379,Newport Docks Depot,PPE & welfare,2025-08-27,2025-09-17,2025-09-28,2,Restock first-aid kit at the east exit
AC-273,SI-2025-0381,Medway City Depot,Housekeeping,2025-08-27,2025-09-10,2025-09-19,1,Restock spill kit at level 2
AC-274,SI-2025-0383,Basildon Marsh Hub,Fire safety,2025-08-27,2025-09-17,2025-09-07,2,Arrange service or replacement of extinguisher at loading bay 6
AC-275,SI-2025-0381,Medway City Depot,Signage,2025-08-28,2025-09-25,2025-09-10,4,Display current statutory notices at bay 2
AC-276,SI-2025-0385,Carlisle Gateway,Storage,2025-09-01,2025-09-22,2025-09-16,5,Update COSHH register at loading bay 6
AC-277,SI-2025-0389,Perth North,Electrical,2025-09-04,2025-09-18,2025-09-26,4,Remove and replace damaged extension lead at loading bay 6
AC-278,SI-2025-0391,Exeter Matford Depot,Housekeeping,2025-09-09,2025-09-30,2025-09-25,3,Clear staged pallets from pedestrian route near aisle 4
AC-279,SI-2025-0395,Avonmouth 3,Fire safety,2025-09-09,2025-09-23,2025-10-04,10,Arrange service or replacement of extinguisher at the yard gate
AC-280,SI-2025-0395,Avonmouth 3,Electrical,2025-09-09,2025-09-23,2025-10-03,7,Clear access to isolation switch at the east exit
AC-281,SI-2025-0395,Avonmouth 3,PPE & welfare,2025-09-09,2025-09-23,2025-09-24,4,Rebrief PPE requirements for the welfare cabin
AC-282,SI-2025-0401,Clydebank Riverside Depot,Fire safety,2025-09-12,2025-10-03,2025-09-27,9,Adjust and repair fire door at bay 2
AC-283,SI-2025-0404,Taunton Priory Depot,Signage,2025-09-13,2025-10-04,2025-09-20,10,Re-mark pedestrian walkway at the dock office
AC-284,SI-2025-0401,Clydebank Riverside Depot,Signage,2025-09-14,2025-10-12,2025-09-24,6,Re-mark pedestrian walkway at level 2
AC-285,SI-2025-0407,Gloucester Quays Hub,Storage,2025-09-17,2025-10-01,2025-09-29,3,Update COSHH register at the dock office
AC-286,SI-2025-0407,Gloucester Quays Hub,Housekeeping,2025-09-18,2025-10-02,2025-10-10,10,Arrange additional waste collection at store B
AC-287,SI-2025-0412,Plymouth Cattedown Yard,Signage,2025-09-18,2025-10-16,2025-09-28,1,Relocate stock obscuring escape signage at level 2
AC-288,SI-2025-0408,Preston Brook Depot,Storage,2025-09-19,2025-10-03,2025-10-04,7,Update COSHH register at the main workshop
AC-289,SI-2025-0410,Dundee Camperdown Depot,Signage,2025-09-19,2025-10-10,2025-09-30,1,Relocate stock obscuring escape signage at the main workshop
AC-290,SI-2025-0411,Luton Percival Hub,Fire safety,2025-09-19,2025-10-03,2025-09-27,9,Arrange service or replacement of extinguisher at the yard gate
AC-291,SI-2025-0411,Luton Percival Hub,Signage,2025-09-19,2025-10-10,2025-10-13,6,Re-mark pedestrian walkway at the north stairwell
AC-292,SI-2025-0414,Ely Sidings,Storage,2025-09-20,2025-10-04,2025-10-02,7,Update COSHH register at the yard gate
AC-293,SI-2025-0415,Slough Trading Depot,Housekeeping,2025-09-21,2025-10-19,2025-10-01,4,Clear staged pallets from pedestrian route near the east exit
AC-294,SI-2025-0416,Derby Litchurch Yard,Signage,2025-09-23,2025-10-07,2025-10-08,5,Display current statutory notices at bay 2
AC-295,SI-2025-0424,Kingsway Depot,Signage,2025-09-26,2025-10-10,2025-10-07,3,Re-mark pedestrian walkway at the mezzanine
AC-296,SI-2025-0426,Aberdeen Harbour Yard,Fire safety,2025-09-27,2025-10-25,2025-10-12,10,Arrange service or replacement of extinguisher at the yard gate
AC-297,SI-2025-0426,Aberdeen Harbour Yard,Storage,2025-09-27,2025-10-11,2025-10-05,5,Redistribute load and check beam at the yard gate
AC-298,SI-2025-0429,Wrexham Industrial Hub,Housekeeping,2025-09-27,2025-10-25,2025-10-08,5,Clear staged pallets from pedestrian route near the welfare cabin
AC-299,SI-2025-0428,Neath Yard,Fire safety,2025-09-28,2025-10-12,2025-10-09,10,Clear access to fire alarm call point at the north stairwell
AC-300,SI-2025-0429,Wrexham Industrial Hub,Storage,2025-09-28,2025-10-19,2025-10-10,6,Remove untagged stepladder from aisle 4
AC-301,SI-2025-0434,Clydebank Riverside Depot,Housekeeping,2025-10-03,2025-10-24,2025-10-08,10,Clear staged pallets from pedestrian route near the east exit
AC-302,SI-2025-0437,Gloucester Quays Hub,Electrical,2025-10-03,2025-10-24,2025-10-12,4,Remove and replace damaged extension lead at aisle 4
AC-303,SI-2025-0437,Gloucester Quays Hub,PPE & welfare,2025-10-04,2025-10-25,2025-10-18,2,Replace eye-wash bottle at the welfare cabin
AC-304,SI-2025-0438,Swansea Fabian Way Depot,Storage,2025-10-07,2025-10-28,2025-10-25,7,Remove untagged stepladder from the mezzanine
AC-305,SI-2025-0443,Kingsway Depot,Electrical,2025-10-09,2025-10-23,2025-10-22,2,Close and label distribution board at the dock office
AC-306,SI-2025-0443,Kingsway Depot,Storage,2025-10-10,2025-10-24,2025-10-19,4,Book racking inspection for the east exit
AC-307,SI-2025-0444,Northampton Crossfield Hub,Fire safety,2025-10-10,2025-10-24,2025-11-04,10,Adjust and repair fire door at loading bay 6
AC-308,SI-2025-0446,Swansea Fabian Way Depot,Signage,2025-10-10,2025-10-31,2025-10-18,5,Display current statutory notices at the mezzanine
AC-309,SI-2025-0449,Salford Quays Depot,Housekeeping,2025-10-13,2025-10-27,2025-11-02,7,Restock spill kit at bay 2
AC-310,SI-2025-0448,Luton Percival Hub,PPE & welfare,2025-10-14,2025-11-04,2025-10-29,2,Restock first-aid kit at loading bay 6
AC-311,SI-2025-0450,Northampton Crossfield Hub,Housekeeping,2025-10-14,2025-11-04,2025-10-27,9,Clear and clean work area at the yard gate
AC-312,SI-2025-0452,Leicester Brook Depot,Housekeeping,2025-10-16,2025-11-06,2025-10-26,7,Restock spill kit at the welfare cabin
AC-313,SI-2025-0457,Preston Brook Depot,Storage,2025-10-17,2025-11-14,2025-11-07,4,Book racking inspection for store B
AC-314,SI-2025-0456,Dartford Clearway Depot,PPE & welfare,2025-10-18,2025-11-01,2025-10-25,6,Repair hot water supply in welfare room at the yard gate
AC-315,SI-2025-0455,Dartford Clearway Depot,Fire safety,2025-10-19,2025-11-02,2025-11-02,4,Service emergency lighting at aisle 4
AC-316,SI-2025-0459,Reading Green Park Depot,Fire safety,2025-10-22,2025-11-12,2025-10-29,1,Clear access to fire alarm call point at the dock office
AC-317,SI-2025-0462,Exeter Matford Depot,Electrical,2025-10-23,2025-11-13,2025-11-04,5,Book PAT retest for equipment at store B
AC-318,SI-2025-0464,Neath Yard,Fire safety,2025-10-23,2025-11-06,2025-11-23,6,Service emergency lighting at bay 2
AC-319,SI-2025-0463,Gloucester Quays Hub,Signage,2025-10-24,2025-11-14,2025-11-16,4,Display current statutory notices at the mezzanine
AC-320,SI-2025-0466,Skelton Grange Hub,Signage,2025-10-24,2025-11-21,2025-10-27,7,Re-mark pedestrian walkway at store B
AC-321,SI-2025-0467,Slough Trading Depot,Fire safety,2025-10-25,2025-11-15,2025-10-31,10,Clear access to fire alarm call point at the yard gate
AC-322,SI-2025-0467,Slough Trading Depot,Housekeeping,2025-10-25,2025-11-22,2025-10-31,5,Arrange additional waste collection at bay 2
AC-323,SI-2025-0467,Slough Trading Depot,Housekeeping,2025-10-25,2025-11-15,2025-10-28,10,Restock spill kit at the main workshop
AC-324,SI-2025-0469,Basildon Marsh Hub,Electrical,2025-10-29,2025-11-19,2025-11-23,7,Remove and replace damaged extension lead at the welfare cabin
AC-325,SI-2025-0471,Leicester Brook Depot,Storage,2025-10-29,2025-11-19,2025-11-09,7,Book racking inspection for bay 2
AC-326,SI-2025-0471,Leicester Brook Depot,Storage,2025-10-29,2025-11-26,2025-11-13,5,Remove untagged stepladder from the welfare cabin
AC-327,SI-2025-0473,Kingsway Depot,Signage,2025-10-30,2025-11-13,2025-11-09,7,Re-mark pedestrian walkway at the welfare cabin
AC-328,SI-2025-0471,Leicester Brook Depot,Housekeeping,2025-10-31,2025-11-21,2025-11-15,2,Arrange additional waste collection at loading bay 6
AC-329,SI-2025-0472,Rugby Junction Depot,Housekeeping,2025-10-31,2025-11-14,2025-11-11,3,Restock spill kit at aisle 4
AC-330,SI-2025-0481,Kingsway Depot,Storage,2025-11-07,2025-11-21,2025-11-11,10,Remove untagged stepladder from level 2
AC-331,SI-2025-0482,Ashford Orbital Yard,Signage,2025-11-07,2025-11-21,2025-11-12,9,Re-mark pedestrian walkway at aisle 4
AC-332,SI-2025-0483,Hull Fleet Depot,Fire safety,2025-11-07,2025-11-28,2025-11-27,10,Service emergency lighting at the yard gate
AC-333,SI-2025-0487,Preston Brook Depot,PPE & welfare,2025-11-07,2025-11-21,2025-11-18,2,Restock first-aid kit at the welfare cabin
AC-334,SI-2025-0486,Basildon Marsh Hub,PPE & welfare,2025-11-09,2025-11-30,2025-11-25,5,Rebrief PPE requirements for loading bay 6
AC-335,SI-2025-0489,Deeside Park Depot,Housekeeping,2025-11-12,2025-11-26,2025-11-22,9,Arrange additional waste collection at the welfare cabin
AC-336,SI-2025-0489,Deeside Park Depot,Signage,2025-11-12,2025-11-26,2025-11-27,5,Re-mark pedestrian walkway at loading bay 6
AC-337,SI-2025-0493,Carlisle Gateway,Fire safety,2025-11-14,2025-11-28,2025-11-26,10,Arrange service or replacement of extinguisher at level 2
AC-338,SI-2025-0497,Clydebank Riverside Depot,Electrical,2025-11-18,2025-12-02,2025-11-29,4,Close and label distribution board at the main workshop
AC-339,SI-2025-0498,Tyne Dock Depot,Signage,2025-11-18,2025-12-02,2025-12-09,1,Install hazard signage at loading bay 6 crossing
AC-340,SI-2025-0499,Exeter Matford Depot,Fire safety,2025-11-18,2025-12-09,2025-12-15,3,Service emergency lighting at the mezzanine
AC-341,SI-2025-0500,Reading Green Park Depot,Fire safety,2025-11-19,2025-12-10,2025-12-22,2,Arrange service or replacement of extinguisher at the north stairwell
AC-342,SI-2025-0500,Reading Green Park Depot,Signage,2025-11-19,2025-12-03,2025-12-03,6,Install hazard signage at the welfare cabin crossing
AC-343,SI-2025-0501,Deeside Park Depot,Signage,2025-11-21,2025-12-19,2025-11-30,6,Display current statutory notices at level 2
AC-344,SI-2025-0503,Skelton Grange Hub,Housekeeping,2025-11-21,2025-12-19,2025-12-07,4,Clear and clean work area at aisle 4
AC-345,SI-2025-0509,Rugby Junction Depot,Fire safety,2025-11-24,2025-12-08,2025-11-27,4,Clear access to fire alarm call point at loading bay 6
AC-346,SI-2025-0514,Neath Yard,Housekeeping,2025-11-27,2025-12-11,2025-12-14,6,Arrange additional waste collection at the main workshop
AC-347,SI-2025-0519,Northampton Crossfield Hub,Housekeeping,2025-11-28,2025-12-12,2025-12-25,9,Clear and clean work area at store B
AC-348,SI-2025-0519,Northampton Crossfield Hub,Signage,2025-11-28,2025-12-19,2025-12-14,3,Re-mark pedestrian walkway at the mezzanine
AC-349,SI-2025-0515,Clydebank Riverside Depot,Fire safety,2025-11-29,2025-12-13,2025-12-17,6,Service emergency lighting at the main workshop
AC-350,SI-2025-0517,Newport Docks Depot,Signage,2025-11-29,2025-12-13,2025-12-07,3,Install hazard signage at the welfare cabin crossing
AC-351,SI-2025-0522,Clydebank Riverside Depot,Housekeeping,2025-12-02,2025-12-23,2025-12-23,4,Clear staged pallets from pedestrian route near the dock office
AC-352,SI-2025-0532,Northampton Crossfield Hub,PPE & welfare,2025-12-09,2025-12-30,2025-12-14,2,Restock first-aid kit at the welfare cabin
AC-353,SI-2025-0534,Dartford Clearway Depot,Housekeeping,2025-12-11,2025-12-25,2026-01-04,2,Clear staged pallets from pedestrian route near level 2
AC-354,SI-2025-0537,Exeter Matford Depot,Electrical,2025-12-18,2026-01-08,2026-01-03,5,Clear access to isolation switch at the dock office
AC-355,SI-2025-0541,Skelton Grange Hub,Storage,2025-12-20,2026-01-10,2025-12-25,4,Book racking inspection for the yard gate
AC-356,SI-2025-0546,Fenton Works,Signage,2025-12-25,2026-01-15,2026-01-07,2,Display current statutory notices at store B
AC-357,SI-2025-0549,Dundee Camperdown Depot,Storage,2025-12-26,2026-01-09,2026-01-02,5,Redistribute load and check beam at the east exit
AC-358,SI-2025-0550,Hull Fleet Depot,Storage,2025-12-26,2026-01-16,2026-01-13,1,Remove untagged stepladder from the north stairwell
AC-359,SI-2025-0550,Hull Fleet Depot,Storage,2025-12-27,2026-01-17,2026-01-07,1,Book racking inspection for the main workshop
AC-360,SI-2025-0555,Luton Percival Hub,Signage,2025-12-31,2026-01-14,2026-01-17,10,Re-mark pedestrian walkway at the mezzanine
AC-361,SI-2025-0557,Exeter Matford Depot,Storage,2025-12-31,2026-01-21,2026-01-03,5,Redistribute load and check beam at the dock office
AC-362,SI-2025-0557,Exeter Matford Depot,PPE & welfare,2026-01-01,2026-01-15,2026-01-18,6,Restock first-aid kit at level 2
AC-363,SI-2026-0004,Reading Green Park Depot,Fire safety,2026-01-02,2026-01-23,2026-01-21,9,Clear access to fire alarm call point at level 2
AC-364,SI-2026-0002,Kingsway Depot,PPE & welfare,2026-01-03,2026-01-24,2026-01-12,2,Repair hot water supply in welfare room at the north stairwell
AC-365,SI-2026-0006,Basildon Marsh Hub,Housekeeping,2026-01-05,2026-01-26,2026-01-21,6,Clear staged pallets from pedestrian route near the mezzanine
AC-366,SI-2026-0006,Basildon Marsh Hub,Signage,2026-01-06,2026-01-20,2026-01-28,4,Re-mark pedestrian walkway at the main workshop
AC-367,SI-2026-0014,Livingston Deans Hub,Electrical,2026-01-09,2026-01-30,2026-02-02,2,Close and label distribution board at level 2
AC-368,SI-2026-0016,Crewe Annex,Electrical,2026-01-09,2026-01-23,2026-01-17,10,Remove and replace damaged extension lead at bay 2
AC-369,SI-2026-0021,Perth North,Fire safety,2026-01-10,2026-01-24,2026-02-03,1,Service emergency lighting at the dock office
AC-370,SI-2026-0021,Perth North,PPE & welfare,2026-01-11,2026-02-08,2026-01-13,9,Rebrief PPE requirements for the dock office
AC-371,SI-2026-0023,Gloucester Quays Hub,Signage,2026-01-13,2026-01-27,2026-02-05,4,Re-mark pedestrian walkway at the yard gate
AC-372,SI-2026-0026,Derby Litchurch Yard,Signage,2026-01-14,2026-01-28,2026-01-27,5,Re-mark pedestrian walkway at bay 2
AC-373,SI-2026-0025,Basildon Marsh Hub,Housekeeping,2026-01-16,2026-02-06,2026-01-20,2,Clear and clean work area at the north stairwell
AC-374,SI-2026-0025,Basildon Marsh Hub,PPE & welfare,2026-01-16,2026-02-06,2026-01-29,9,Restock first-aid kit at the yard gate
AC-375,SI-2026-0025,Basildon Marsh Hub,Storage,2026-01-16,2026-01-30,2026-01-21,9,Book racking inspection for the dock office
AC-376,SI-2026-0030,Bradford Interchange Depot,PPE & welfare,2026-01-16,2026-02-06,2026-02-02,4,Restock first-aid kit at the north stairwell
AC-377,SI-2026-0034,Slough Trading Depot,Storage,2026-01-19,2026-02-09,2026-02-19,4,Book racking inspection for the yard gate
AC-378,SI-2026-0033,Northampton Crossfield Hub,Housekeeping,2026-01-21,2026-02-04,2026-02-24,9,Clear and clean work area at bay 2
AC-379,SI-2026-0036,Exeter Matford Depot,Signage,2026-01-21,2026-02-11,2026-02-11,5,Display current statutory notices at the east exit
AC-380,SI-2026-0036,Exeter Matford Depot,Housekeeping,2026-01-22,2026-02-05,2026-02-03,3,Clear and clean work area at the dock office
AC-381,SI-2026-0037,Rugby Junction Depot,PPE & welfare,2026-01-23,2026-02-20,2026-02-22,2,Rebrief PPE requirements for aisle 4
AC-382,SI-2026-0037,Rugby Junction Depot,Storage,2026-01-23,2026-02-20,2026-01-25,10,Book racking inspection for store B
AC-383,SI-2026-0040,Bradford Interchange Depot,Housekeeping,2026-01-26,2026-02-09,2026-02-02,4,Clear staged pallets from pedestrian route near the east exit
AC-384,SI-2026-0045,Tyne Dock Depot,Signage,2026-01-29,2026-02-19,2026-02-13,10,Relocate stock obscuring escape signage at bay 2
AC-385,SI-2026-0042,Plymouth Cattedown Yard,Fire safety,2026-01-30,2026-02-20,2026-02-22,1,Arrange service or replacement of extinguisher at loading bay 6
AC-386,SI-2026-0046,Coventry Gateway Hub,PPE & welfare,2026-01-31,2026-02-21,2026-02-08,10,Restock first-aid kit at the north stairwell
AC-387,SI-2026-0049,Skelton Grange Hub ,Signage,2026-02-04,2026-02-18,2026-02-18,9,Re-mark pedestrian walkway at the welfare cabin
AC-388,SI-2026-0051,PRESTON BROOK DEPOT,Housekeeping,2026-02-06,2026-02-20,2026-02-26,2,Restock spill kit at the dock office
AC-389,SI-2026-0052,Skelton  Grange Hub,PPE & welfare,2026-02-07,2026-03-07,2026-02-24,9,Replace eye-wash bottle at the dock office
AC-390,SI-2026-0057,Kingsway Depot ,Storage,2026-02-09,2026-02-23,2026-02-21,2,Book racking inspection for the mezzanine
AC-391,SI-2026-0059,CLYDEBANK RIVERSIDE DEPOT,Housekeeping,2026-02-11,2026-03-11,2026-03-12,9,Clear and clean work area at the mezzanine
AC-392,SI-2026-0063,Perth  North,Signage,2026-02-11,2026-02-25,2026-02-26,6,Re-mark pedestrian walkway at the yard gate
AC-393,SI-2026-0063,Perth North ,Electrical,2026-02-12,2026-03-12,2026-02-19,2,Remove and replace damaged extension lead at aisle 4
AC-394,SI-2026-0063,PERTH NORTH,PPE & welfare,2026-02-12,2026-03-05,2026-02-26,3,Replace eye-wash bottle at the main workshop
